Dataset,Node,Model,Precision,Recall,F1
yahoo_s5,22,ARIMA,0.23529410380622917,0.9999997500000625,0.38095203628139573
yahoo_s5,22,Prophet,0.10526315512465383,0.9999997500000625,0.19047600907041998
yahoo_s5,23,ARIMA,0.0,0.0,0.0
yahoo_s5,23,Prophet,0.6249999739583344,0.9999999333333378,0.769230256410547
yahoo_s5,24,ARIMA,0.7166666547222225,0.9999999767441866,0.8349509537188241
yahoo_s5,24,Prophet,0.8269230610207104,0.9999999767441866,0.9052626433243712
metrla,0,ARIMA,0.03360743652713356,0.9306930600921479,0.06487225842321719
metrla,0,Prophet,0.003165809258739292,0.07920792000784238,0.006088206146688666
metrla,1,ARIMA,0.06557377044880408,0.9999999900000002,0.12307680742259267
metrla,1,Prophet,0.03011363634652634,0.5299999947,0.05698914550486342
metrla,2,ARIMA,0.02672413790799643,0.3009708708643605,0.04908931963743493
metrla,2,Prophet,0.035344015063457114,0.728155332736356,0.067415641978249
metrla,3,ARIMA,0.05834305714215691,0.970873776981808,0.1100714394372782
metrla,3,Prophet,0.05474040628964988,0.9417475636723538,0.10346656272508112
metrla,4,ARIMA,0.05725190836052677,0.9090908999081727,0.10771981658614693
metrla,4,Prophet,0.06531049243542773,0.6161616099377615,0.11810244021283137
metrla,5,ARIMA,0.060916767152643686,0.99999999009901,0.11483786774823057
metrla,5,Prophet,0.04129168870233367,0.7722772200764632,0.07839186336467911
metrla,6,ARIMA,0.03574397338497757,0.8349514482043549,0.06855312966116957
metrla,6,Prophet,0.037332005954538575,0.728155332736356,0.07102263442453145
metrla,7,ARIMA,0.019607843114639166,0.1699999983,0.03516010404668785
metrla,7,Prophet,0.0037712130711683133,0.05999999940000001,0.00709628138147692
metrla,8,ARIMA,0.07941403232119194,0.9999999902912623,0.14714272061543138
metrla,8,Prophet,0.04875571353542117,0.9320388259025357,0.09266399809614732
metrla,9,ARIMA,0.0,0.0,0.0
metrla,9,Prophet,0.0,0.0,0.0
metrla,10,ARIMA,0.025199495999496224,0.5825242661890848,0.048309099213193575
metrla,10,Prophet,0.03883495143117478,0.5825242661890848,0.07281541670490181
metrla,11,ARIMA,0.05613079016014671,0.9999999902912623,0.10629504888338143
metrla,11,Prophet,0.0033698399297642455,0.03883495107927232,0.006201403441975687
metrla,12,ARIMA,0.0,0.0,0.0
metrla,12,Prophet,0.0,0.0,0.0
metrla,13,ARIMA,0.035027472515443865,0.9999999901960785,0.06768407523842164
metrla,13,Prophet,0.05027106946758449,0.9999999901960785,0.09572961312677322
metrla,14,ARIMA,0.06075334139686917,0.970873776981808,0.11435094677129101
metrla,14,Prophet,0.044392523343741816,0.9223300881327177,0.08470789268410076
metrla,15,ARIMA,0.004535147387148359,0.03883495107927232,0.008121640131091252
metrla,15,Prophet,0.07230559335292552,0.5145631018003582,0.12679404201806327
metrla,16,ARIMA,0.023545706360320544,0.49514562626072206,0.044953637400496294
metrla,16,Prophet,0.03774792064123613,0.5728155284192668,0.07082821524282874
metrla,17,ARIMA,0.06085918850784058,0.9999999901960785,0.1147355497602618
metrla,17,Prophet,0.052415210661657136,0.9999999901960785,0.09960928025445316
metrla,18,ARIMA,0.08115419289345879,0.8910891000882267,0.14876017732547553
metrla,18,Prophet,0.03768996958195139,0.6138613800607784,0.07101936399956807
metrla,19,ARIMA,0.04652255636911534,0.99999998989899,0.08890876094492016
metrla,19,Prophet,0.04568764566634609,0.9898989799000103,0.08734394410017253
metrla,20,ARIMA,0.049544994919340245,0.9999999897959185,0.09441224136019274
metrla,20,Prophet,0.043114826201885253,0.9999999897959185,0.08266546264701413
metrla,21,ARIMA,0.08312958428432796,0.9999999901960785,0.15349872938303954
metrla,21,Prophet,0.047907822893930974,0.7745097963283354,0.0902340420920953
metrla,22,ARIMA,0.999999956521741,0.22549019386774322,0.3679996938242388
metrla,22,Prophet,0.03064592172058184,0.6372548957131873,0.058479444554050644
metrla,23,ARIMA,0.0,0.0,0.0
metrla,23,Prophet,0.0,0.0,0.0
metrla,24,ARIMA,0.05679287301960308,0.9999999901960785,0.10748145771777505
metrla,24,Prophet,0.05104645224550972,0.9803921472510574,0.09704017753623276
