Dataset,Node,Model,Precision,Recall,F1
metrla,7,Graph-Augmented,0.14754098338667515,0.9899999901000002,0.25680911209710827
metrla,7,LSTM-Only,0.18656716383103142,0.9999999900000002,0.31446514279520627
metrla,8,Graph-Augmented,0.03673469385613137,0.611650479498539,0.0693068237253858
metrla,8,LSTM-Only,0.0770416023466231,0.485436888490904,0.13297848663534986
metrla,9,Graph-Augmented,0.03923593183312549,0.7450980319108036,0.07454625113102267
metrla,9,LSTM-Only,0.06551410367105176,0.7058823460207614,0.11989992763197542
metrla,10,Graph-Augmented,0.07226277366988118,0.9801980100970494,0.1346021832769879
metrla,10,LSTM-Only,0.11702127645742166,0.9801980100970494,0.20908111840108046
metrla,11,Graph-Augmented,0.04113110537202371,0.7032966955681682,0.07771695683099843
metrla,11,LSTM-Only,0.11229946509050874,0.9230769129332208,0.2002381851488029
